# Time (s),Altitude (m),Vertical velocity (m/s),Vertical acceleration (m/s²),Air temperature (°C),Air pressure (mbar),Simulation time step (s),Apogee (m)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
0.01,0.006,0,121.002,5.893,856.1,0.01,0.006
# Event LIFTOFF occurred at t=0.02 seconds
0.02,0.0255359,1.22351,121.015,5.893,856.1,0.01,0.101856
0.03,0.0645145,2.45435,121.036,5.893,856.1,0.01,0.371608
0.04,0.117708,3.6873,121.058,5.893,856.1,0.01,0.81077
0.05,0.183421,4.92067,121.08,5.893,856.1,0.01,1.4175
0.06,0.261421,6.15421,121.103,5.892,856.1,0.01,2.19147
0.07,0.350975,7.38719,121.124,5.892,856.1,0.01,3.13129
0.08,0.452804,8.62033,121.146,5.891,856,0.01,4.23795
0.09,0.566513,9.85324,121.167,5.89,856,0.01,5.51049
0.099,0.676322,10.96,121.183,5.89,856,0.009,6.79168
0.108,0.792861,12.0636,121.196,5.889,856,0.009,8.19966
0.115,0.888851,12.9205,121.204,5.888,856,0.007,9.38328
0.122,0.993965,13.7807,121.216,5.888,856,0.007,10.6545
# Event LAUNCHROD occurred at t=0.129 seconds
0.129,1.10422,14.64,121.227,5.887,856,0.00699999,12.0042
0.139,1.29255,15.8881,121.262,5.886,856,0.01,14.1248
0.154,1.61251,17.7751,121.329,5.884,855.9,0.015,17.6625
0.177,2.17019,20.6823,121.442,5.881,855.9,0.023,23.8735
0.211,3.14292,25.0104,121.632,5.876,855.8,0.034,34.813
0.261,4.89188,31.4376,121.956,5.867,855.7,0.05,54.7408
0.311,6.86901,37.7872,122.189,5.855,855.5,0.05,78.5623
0.361,9.12105,44.1055,122.381,5.842,855.2,0.05,106.284
0.411,11.6647,50.4086,122.548,5.827,855,0.05,137.815
0.461,14.5044,56.7003,122.695,5.81,854.7,0.05,172.997
0.511,17.4989,62.839,122.69,5.79,854.4,0.05,210.678
0.561,20.1742,68.3507,122.093,5.769,854.1,0.05,247.004
0.611,22.8451,73.5495,121.219,5.746,853.7,0.05,283.512
0.661,25.6793,78.6031,120.235,5.721,853.3,0.05,321.024
0.711,28.7343,83.5685,119.195,5.695,852.8,0.05,359.854
0.761,32.0304,88.4655,118.118,5.666,852.4,0.05,399.881
0.811,35.5772,93.303,117.011,5.636,851.9,0.05,441.084
0.861,39.4584,98.1641,115.953,5.604,851.3,0.05,484.212
0.911,43.7399,103.115,115.004,5.57,850.8,0.05,529.605
0.961,48.3484,108.081,114.089,5.535,850.2,0.05,576.604
