# Time (s),Altitude (m),Vertical velocity (m/s),Vertical acceleration (m/s²),Air temperature (°C),Air pressure (mbar)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
0.01,0.006,1.205,120.579,5.965,857.26
# Event LIFTOFF occurred at t=0.02 seconds
0.02,0.024,2.41,120.603,5.965,857.258
0.03,0.054,3.616,120.626,5.965,857.255
0.04,0.096,4.822,120.648,5.964,857.251
0.05,0.151,6.028,120.669,5.964,857.245
0.06,0.217,7.235,120.69,5.964,857.238
0.07,0.295,8.441,120.71,5.963,857.229
0.08,0.386,9.648,120.73,5.962,857.22
0.09,0.488,10.855,120.75,5.962,857.209
0.099,0.593,11.963,120.765,5.961,857.198
0.108,0.697,12.968,120.776,5.96,857.187
0.115,0.8,13.896,120.788,5.96,857.176
0.122,0.903,14.761,120.798,5.959,857.165
# Event LAUNCHROD occurred at t=0.129 seconds
0.129,1.005,15.576,120.808,5.958,857.154
0.139,1.169,16.799,120.801,5.957,857.137
0.154,1.438,18.633,120.853,5.956,857.108
0.177,1.894,21.384,120.927,5.953,857.059
0.211,2.695,25.514,121.032,5.947,856.974
0.261,4.122,31.56,121.165,5.938,856.822
0.311,5.851,37.608,121.205,5.927,856.639
0.361,7.882,43.657,121.211,5.914,856.422
0.411,10.216,49.705,121.18,5.899,856.174
0.461,12.852,55.751,121.102,5.881,855.894
0.511,15.79,61.772,120.57,5.862,855.581
0.561,19.027,67.684,118.348,5.841,855.237
0.611,22.556,73.474,115.882,5.818,854.862
0.661,26.371,79.139,113.369,5.794,854.456
0.711,30.466,84.677,110.823,5.767,854.02
0.761,34.835,90.087,108.244,5.739,853.555
0.811,39.472,95.368,105.649,5.708,853.062
0.861,44.369,100.529,103.212,5.677,852.541
0.911,49.522,105.585,101.126,5.643,851.993
0.961,54.925,110.539,99.146,5.608,851.418
1.011,60.573,115.396,97.247,5.571,850.818
1.061,66.462,120.16,95.421,5.533,850.191
1.111,72.587,124.832,93.611,5.493,849.54
1.161,78.943,129.416,91.858,5.452,848.864
1.211,85.526,133.911,90.037,5.409,848.163
1.261,92.332,138.312,88.145,5.365,847.439
1.311,99.355,142.617,86.196,5.319,846.692
1.359,106.174,146.588,84.176,5.275,845.967
1.407,113.346,150.574,82.483,5.228,845.221
1.457,120.976,154.617,80.715,5.179,844.449
1.507,128.805,158.568,78.892,5.128,843.657
1.557,136.83,162.427,77.007,5.076,842.844
1.607,145.046,166.191,75.137,5.022,842.013
1.657,153.447,169.867,73.458,4.968,841.162
1.707,162.031,173.461,71.888,4.912,840.294
1.757,170.792,176.979,70.399,4.855,839.407
1.807,179.727,180.426,69.026,4.797,838.503
1.857,188.832,183.804,67.579,4.738,837.581
1.907,198.105,187.102,65.866,4.677,836.642
1.957,207.54,190.311,64.078,4.616,835.687
2.007,217.134,193.431,62.252,4.554,834.716
2.057,226.881,196.455,60.35,4.49,833.73
2.107,236.777,199.391,58.685,4.426,832.728
2.157,246.818,202.245,57.055,4.361,831.712
2.207,257,205.017,55.366,4.295,830.681
2.257,267.318,207.701,53.599,4.227,829.637
2.307,277.768,210.296,51.809,4.16,828.579
2.357,288.345,212.803,50.097,4.091,827.509
2.407,299.046,215.227,48.428,4.021,826.426
2.457,309.866,217.566,46.735,3.951,825.33
2.507,320.801,219.819,44.981,3.88,824.224
2.557,331.846,221.982,43.176,3.808,823.106
2.607,342.997,224.056,41.448,3.736,821.977
2.657,354.249,226.046,39.796,3.662,820.838
2.707,365.599,227.956,38.186,3.589,819.689
2.757,377.043,229.782,36.467,3.514,818.531
2.807,388.575,231.519,34.656,3.439,817.364
2.857,400.192,233.167,32.909,3.364,816.188
2.907,411.89,234.729,31.2,3.288,815.004
2.957,423.663,236.202,29.405,3.211,813.812
3.007,435.508,237.584,27.605,3.134,812.613
3.057,447.411,238.538,19.046,3.057,811.409
3.107,459.346,238.877,6.775,2.979,810.201
3.157,471.29,238.854,-0.447,2.902,808.992
3.207,483.225,238.555,-5.931,2.824,807.784
3.257,495.138,237.98,-11.474,2.747,806.578
3.307,507.016,237.126,-17.069,2.669,805.376
# Event BURNOUT occurred at t=3.35 seconds
3.35,517.244,236.163,-22.214,2.603,804.341
3.4,529.021,234.935,-24.485,2.526,803.148
3.45,540.737,233.715,-24.269,2.45,801.963
3.5,552.393,232.508,-24.029,2.374,800.783
3.55,563.988,231.311,-23.85,2.299,799.609
3.6,575.524,230.123,-23.669,2.224,798.442
3.65,587.001,228.946,-23.416,2.149,797.28
3.7,598.419,227.782,-23.183,2.075,796.124
3.75,609.779,226.625,-23.134,2.001,794.974
3.8,621.081,225.469,-23.083,1.928,793.885
3.85,632.326,224.316,-22.988,1.855,792.803
3.9,643.513,223.173,-22.716,1.782,791.726
3.95,654.643,222.042,-22.537,1.71,790.655
4,665.717,220.923,-22.249,1.638,789.589
4.05,676.736,219.81,-22.291,1.566,788.529
4.1,687.698,218.697,-22.205,1.495,787.473
