# Time (s),Altitude (m),Vertical velocity (m/s),Vertical acceleration (m/s²),Air temperature (°C),Air pressure (mbar),Simulation time step (s),Apogee (m)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
0.01,0.006,1.209,121,15.556,1013.25,0.01,2238.13
# Event LIFTOFF occurred at t=0.02 seconds
0.02,0.024,2.419,121.025,15.555,1013.25,0.01,2238.13
0.03,0.054,3.629,121.049,15.555,1013.24,0.01,2238.13
0.04,0.097,4.839,121.071,15.555,1013.24,0.01,2238.13
0.05,0.151,6.049,121.091,15.555,1013.23,0.01,2238.13
0.06,0.218,7.26,121.111,15.554,1013.23,0.01,2238.13
0.07,0.296,8.471,121.13,15.554,1013.22,0.01,2238.13
0.08,0.387,9.682,121.148,15.553,1013.21,0.01,2238.13
0.09,0.49,10.893,121.165,15.552,1013.19,0.01,2238.13
0.1,0.605,12.104,121.182,15.552,1013.18,0.01,2238.13
0.11,0.732,13.315,121.198,15.551,1013.16,0.01,2238.13
0.12,0.871,14.527,121.213,15.55,1013.15,0.01,2238.13
0.13,1.023,15.739,121.228,15.549,1013.13,0.01,2238.13
0.14,1.186,16.951,121.243,15.548,1013.11,0.01,2238.13
0.15,1.362,18.163,121.258,15.547,1013.09,0.01,2238.13
0.16,1.549,19.375,121.272,15.545,1013.07,0.01,2238.13
0.17,1.749,20.587,121.286,15.544,1013.04,0.01,2238.13
0.18,1.961,21.8,121.299,15.543,1013.02,0.01,2238.13
0.19,2.185,23.012,121.312,15.541,1012.99,0.01,2238.13
0.2,2.421,24.225,121.325,15.54,1012.97,0.01,2238.13
0.21,2.67,25.438,121.336,15.538,1012.94,0.01,2238.13
0.22,2.93,26.651,121.348,15.536,1012.91,0.01,2238.13
0.23,3.203,27.864,121.359,15.535,1012.88,0.01,2238.13
0.24,3.487,29.077,121.369,15.533,1012.84,0.01,2238.13
0.25,3.784,30.29,121.379,15.531,1012.81,0.01,2238.13
0.26,4.093,31.504,121.388,15.529,1012.77,0.01,2238.13
0.27,4.414,32.717,121.397,15.527,1012.73,0.01,2238.13
0.28,4.748,33.931,121.405,15.524,1012.69,0.01,2238.13
0.29,5.093,35.144,121.413,15.522,1012.65,0.01,2238.13
# Event LAUNCHROD occurred at t=0.3 seconds
0.3,5.45,36.358,121.42,15.52,1012.61,0.01,2238.13
0.315,6.009,38.179,121.453,15.516,1012.55,0.015,2238.13
0.338,6.899,40.91,121.501,15.51,1012.44,0.023,2238.13
0.371,8.349,45.008,121.566,15.501,1012.27,0.034,2238.13
0.421,10.751,51.079,121.647,15.485,1011.99,0.05,2238.13
0.471,13.457,57.15,121.636,15.467,1011.67,0.05,2238.13
0.521,16.465,63.184,120.872,15.448,1011.32,0.05,2238.13
0.571,19.772,69.106,118.597,15.426,1010.93,0.05,2238.13
0.621,23.373,74.91,116.21,15.402,1010.51,0.05,2238.13
0.671,27.26,80.592,113.741,15.377,1010.06,0.05,2238.13
0.721,31.429,86.148,111.19,15.35,1009.57,0.05,2238.13
0.771,35.872,91.575,108.585,15.321,1009.05,0.05,2238.13
0.821,40.583,96.872,105.952,15.29,1008.5,0.05,2238.13
0.871,45.556,102.054,103.646,15.257,1007.92,0.05,2238.13
0.916,50.261,106.637,101.694,15.226,1007.37,0.045,2238.13
0.958,54.741,110.755,99.98,15.197,1006.84,0.041,2238.13
1,59.473,114.878,98.385,15.166,1006.29,0.042,2238.13
1.047,65.003,119.439,96.742,15.13,1005.64,0.047,2238.13
1.097,71.093,124.179,94.933,15.09,1004.93,0.05,2238.13
1.147,77.418,128.825,93.033,15.048,1004.19,0.05,2238.13
1.197,83.973,133.373,91.04,15.005,1003.42,0.05,2238.13
1.247,90.753,137.821,89.001,14.961,1002.63,0.05,2238.13
1.288,96.561,141.44,87.062,14.923,1001.95,0.042,2238.13
1.326,101.971,144.667,85.338,14.888,1001.31,0.038,2238.13
1.367,107.938,148.081,83.686,14.849,1000.61,0.041,2238.13
1.417,115.445,152.191,82.044,14.799,999.735,0.05,2238.13
1.467,123.155,156.208,80.218,14.749,998.833,0.05,2238.13
1.517,131.063,160.135,78.414,14.697,997.907,0.05,2238.13
1.557,137.607,163.248,76.886,14.654,997.141,0.04,2238.13
1.597,144.106,166.231,75.614,14.612,996.38,0.039,2238.13
1.647,152.511,169.943,74.203,14.557,995.396,0.05,2238.13
1.697,161.098,173.575,72.638,14.5,994.391,0.05,2238.13
1.747,169.866,177.128,71.048,14.443,993.364,0.05,2238.13
1.797,178.809,180.6,69.358,14.384,992.317,0.05,2238.13
1.844,187.32,183.765,67.682,14.329,991.321,0.047,2238.13
1.893,196.567,187.059,65.918,14.268,990.238,0.05,2238.13
1.943,206,190.269,64.065,14.206,989.134,0.05,2238.13
1.993,215.592,193.386,62.214,14.143,988.011,0.05,2238.13
2.043,225.337,196.412,60.441,14.079,986.87,0.05,2238.13
2.093,235.231,199.35,58.711,14.015,985.712,0.05,2238.13
2.143,245.27,202.205,57.072,13.949,984.537,0.05,2238.13
2.193,255.449,204.978,55.432,13.882,983.345,0.05,2238.13
2.243,265.765,207.667,53.713,13.815,982.137,0.05,2238.13
2.287,274.883,209.942,52.031,13.755,981.07,0.044,2238.13
2.337,285.443,212.462,50.226,13.686,979.834,0.05,2238.13
2.387,296.126,214.884,48.323,13.616,978.583,0.05,2238.13
2.437,306.929,217.213,46.504,13.545,977.318,0.05,2238.13
2.485,317.439,219.373,44.865,13.476,976.088,0.048,2238.13
2.535,328.462,221.536,43.206,13.404,974.798,0.05,2238.13
2.585,339.591,223.613,41.513,13.331,973.495,0.05,2238.13
2.635,350.821,225.604,39.725,13.258,972.18,0.05,2238.13
2.685,362.149,227.503,37.856,13.183,970.854,0.05,2238.13
2.735,373.569,229.307,35.992,13.108,969.517,0.05,2238.13
2.785,385.077,231.019,34.158,13.033,968.17,0.05,2238.13
2.835,396.669,232.642,32.48,12.957,966.813,0.05,2238.13
2.885,408.339,234.184,30.842,12.881,965.447,0.05,2238.13
2.935,420.085,235.643,29.148,12.804,964.071,0.05,2238.13
2.981,430.991,236.911,27.421,12.732,962.795,0.046,2238.13
3.031,442.866,238.091,23.389,12.655,961.405,0.05,2238.13
3.081,454.784,238.657,11.288,12.576,960.009,0.05,2238.13
3.131,466.718,238.7,0.884,12.498,958.612,0.05,2238.13
3.181,478.647,238.458,-4.748,12.42,957.216,0.05,2238.13
3.231,490.557,237.942,-10.252,12.342,955.821,0.05,2238.13
3.281,502.434,237.148,-15.816,12.264,954.444,0.05,2238.13
