# Time (s),Altitude (m),Vertical velocity (m/s),Vertical acceleration (m/s²),Air temperature (°C),Air pressure (mbar),Simulation time step (s)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
0.01,0.006,1.209,121.002,5.893,856.1,0.01
# Event LIFTOFF occurred at t=0.02 seconds
0.02,0.024,2.419,121.026,5.893,856.1,0.01
0.03,0.054,3.629,121.05,5.893,856.1,0.01
0.04,0.097,4.839,121.072,5.893,856.1,0.01
0.05,0.151,6.049,121.094,5.893,856.1,0.01
0.06,0.218,7.26,121.115,5.892,856.1,0.01
0.07,0.296,8.471,121.135,5.892,856.1,0.01
0.08,0.387,9.682,121.155,5.891,856,0.01
0.09,0.49,10.893,121.174,5.89,856,0.01
0.099,0.595,12.005,121.188,5.89,856,0.009
0.108,0.699,13.014,121.2,5.889,856,0.008
0.115,0.803,13.945,121.212,5.888,856,0.008
0.122,0.906,14.814,121.223,5.888,856,0.007
# Event LAUNCHROD occurred at t=0.129 seconds
0.129,1.009,15.632,121.234,5.887,856,0.007
0.139,1.173,16.86,121.267,5.886,856,0.01
0.154,1.443,18.701,121.317,5.884,855.9,0.015
0.177,1.901,21.464,121.389,5.881,855.9,0.023
0.211,2.705,25.61,121.493,5.876,855.8,0.034
0.261,4.137,31.679,121.632,5.867,855.7,0.05
0.311,5.873,37.751,121.685,5.855,855.5,0.05
0.361,7.912,43.825,121.725,5.842,855.2,0.05
0.411,10.255,49.9,121.748,5.827,855,0.05
0.461,12.902,55.976,121.749,5.81,854.7,0.05
0.511,15.852,62.032,121.31,5.79,854.4,0.05
0.561,19.102,67.983,119.199,5.769,854.1,0.05
0.611,22.647,73.818,116.866,5.746,853.7,0.05
0.661,26.481,79.535,114.483,5.721,853.3,0.05
0.711,30.598,85.131,112.048,5.695,852.8,0.05
0.761,34.991,90.604,109.566,5.666,852.4,0.05
0.811,39.655,95.952,107.048,5.636,851.9,0.05
0.861,44.583,101.186,104.736,5.604,851.3,0.05
0.911,49.771,106.32,102.738,5.57,850.8,0.05
0.961,55.213,111.355,100.769,5.535,850.2,0.05
1.011,60.904,116.291,98.83,5.498,849.6,0.05
1.061,66.839,121.131,96.904,5.459,849,0.05
1.111,73.014,125.875,94.991,5.419,848.3,0.05
1.161,79.424,130.522,93.054,5.377,847.6,0.05
1.211,86.064,135.072,91.062,5.334,846.9,0.05
1.261,92.929,139.52,89.022,5.289,846.2,0.05
1.311,100.014,143.864,86.931,5.243,845.5,0.05
1.359,106.893,147.868,84.878,5.199,844.8,0.047
1.409,114.39,152.031,83.199,5.15,844,0.05
1.459,122.094,156.11,81.495,5.1,843.2,0.05
1.509,129.999,160.103,79.763,5.049,842.4,0.05
1.559,138.102,164.009,78.052,4.996,841.6,0.05
1.609,146.398,167.83,76.376,4.942,840.8,0.05
1.655,154.332,171.331,74.817,4.89,840,0.047
1.705,162.99,174.997,73.333,4.834,839.1,0.05
1.755,171.829,178.586,71.774,4.777,838.2,0.05
1.805,180.846,182.095,70.141,4.718,837.3,0.05
1.855,190.037,185.521,68.468,4.658,836.3,0.05
1.902,198.816,188.658,66.78,4.601,835.5,0.047
1.952,208.33,191.916,65.057,4.539,834.5,0.05
2.002,218.005,195.084,63.273,4.476,833.5,0.05
2.052,227.836,198.163,61.493,4.413,832.5,0.05
2.102,237.819,201.155,59.792,4.348,831.5,0.05
2.152,247.95,204.062,58.11,4.282,830.5,0.05
2.202,258.223,206.886,56.453,4.215,829.4,0.05
2.252,268.636,209.627,54.761,4.147,828.4,0.05
2.302,279.184,212.282,53.042,4.079,827.3,0.05
2.352,289.862,214.85,51.299,4.009,826.2,0.05
2.402,300.667,217.33,49.502,3.939,825.1,0.05
2.452,311.593,219.718,47.686,3.868,824,0.05
2.502,322.636,222.017,45.898,3.796,822.9,0.05
2.552,333.793,224.228,44.188,3.724,821.8,0.05
2.602,345.057,226.354,42.488,3.651,820.7,0.05
2.652,356.426,228.395,40.787,3.577,819.5,0.05
2.702,367.894,230.349,39.014,3.502,818.3,0.05
2.752,379.459,232.213,37.213,3.427,817.2,0.05
2.802,391.114,233.987,35.412,3.351,816,0.05
2.852,402.855,235.672,33.659,3.275,814.8,0.05
2.902,414.679,237.269,31.906,3.198,813.6,0.05
2.952,426.58,238.78,30.21,3.121,812.4,0.05
3.002,438.554,240.205,28.477,3.043,811.2,0.05
3.052,450.591,241.242,20.68,2.965,810,0.05
3.102,462.663,241.646,8.07,2.886,808.8,0.05
3.152,474.746,241.66,0.277,2.808,807.5,0.05
3.202,486.822,241.39,-5.374,2.729,806.3,0.05
3.252,498.877,240.839,-10.981,2.651,805.1,0.05
3.302,510.899,240.009,-16.531,2.573,803.9,0.05
# Event BURNOUT occurred at t=3.35 seconds
3.35,522.334,238.957,-21.944,2.498,802.7,0.048
3.4,534.251,237.728,-24.493,2.421,801.5,0.05
3.45,546.107,236.509,-24.284,2.344,800.3,0.05
3.5,557.902,235.298,-24.129,2.267,799.1,0.05
3.55,569.637,234.096,-23.949,2.191,797.9,0.05
3.6,581.312,232.903,-23.771,2.115,796.7,0.05
3.65,592.927,231.719,-23.611,2.039,795.6,0.05
3.7,604.484,230.542,-23.446,1.964,794.4,0.05
3.75,615.981,229.375,-23.249,1.89,793.3,0.05
3.8,627.421,228.217,-23.066,1.815,792.2,0.05
3.85,638.803,227.068,-22.926,1.741,791.1,0.05
3.9,650.128,225.924,-22.799,1.668,790,0.05
3.95,661.396,224.788,-22.669,1.594,788.9,0.05
4,672.607,223.658,-22.52,1.522,787.9,0.05
4.05,683.762,222.535,-22.362,1.449,786.8,0.05
4.1,694.861,221.422,-22.158,1.377,785.7,0.05
4.15,705.904,220.319,-21.976,1.305,784.7,0.05
4.2,716.893,219.224,-21.848,1.234,783.6,0.05
4.25,727.827,218.135,-21.734,1.163,782.6,0.05
4.3,738.706,217.05,-21.627,1.092,781.5,0.05
4.35,749.532,215.971,-21.525,1.022,780.5,0.05
4.4,760.304,214.898,-21.386,0.952,779.4,0.05
4.45,771.022,213.834,-21.203,0.882,778.4,0.05
4.5,781.687,212.778,-21.017,0.813,777.4,0.05
4.55,792.3,211.731,-20.878,0.744,776.3,0.05
4.6,802.86,210.69,-20.764,0.675,775.3,0.05
4.65,813.369,209.654,-20.672,0.607,774.3,0.05
4.7,823.826,208.623,-20.582,0.539,773.3,0.05
