time,accelx,accely,accelz,gyrox,gyroy,gyroz,magx,magy,magz,altitude
3672370000000,9.8345,0.832702,0.210568,-0.00412334,-0.00946841,0.00351247,-55.6416,-15.2441,17.5241,3.16757
3672450000000,9.83928,0.894915,-0.191426,-0.0138972,-0.0256563,0.00274889,-56.0362,-14.8202,17.5826,2.49149
3672540000000,9.86321,0.918843,-0.473778,-0.00534507,-0.00626137,0.00778853,-55.9339,-14.7325,17.6995,2.49149
3672620000000,9.8345,0.813559,-0.0430708,0.00274889,0.00733038,0.00870483,-56.0655,-15.4487,17.948,3.25208
3672700000000,9.84407,0.770488,0.191426,-0.00442877,-0.0106901,0.00381791,-55.9778,-15.2441,17.9187,2.55487
3672790000000,9.84885,0.909272,-0.301496,-0.0140499,-0.0210748,0.0018326,-55.6416,-15.3756,17.7726,2.55487
3672870000000,9.84885,0.957129,-0.473778,-0.000916298,-0.00458149,0.00519235,-55.3639,-15.2148,17.7726,2.49149
3672950000000,9.84407,0.832702,-0.0382851,-0.000152716,0.00351247,0.00855211,-55.6416,-15.4925,17.451,1.8154
3673030000000,9.8345,0.827916,0.0526421,-0.00931569,-0.0157298,0.00519235,-56.1093,-15.0833,17.6995,2.89291
3673110000000,9.85843,0.866201,-0.306281,-0.00962113,-0.0213803,0.0018326,-55.6416,-14.9664,17.6556,2.89291
3673200000000,9.84407,0.904486,-0.382851,-0.00152716,-0.00244346,0.0056505,-55.6855,-15.2295,18.211,2.99857
3673280000000,9.8345,0.85663,0.0287139,0,0.00213803,0.00671952,-56.0216,-15.361,17.2757,2.66052
3673360000000,9.84885,0.818345,0.11007,-0.0074831,-0.0129809,0.00503964,-55.5539,-14.9518,17.2903,2.55487
3673440000000,9.86321,0.870987,-0.306281,-0.0120646,-0.0171042,0.00397062,-55.8462,-15.0541,17.4656,2.49149
3673530000000,9.85364,0.894915,-0.416351,-0.000152716,0.000763581,0.00671952,-55.7732,-15.0395,17.5095,2.49149
3673610000000,9.85364,0.832702,0.00957128,-0.0018326,0.00259618,0.00580322,-55.4955,-14.7033,17.0418,2.21683
3673690000000,9.84885,0.842273,0.0478564,-0.0056505,-0.0151189,0.00305432,-55.9047,-15.1418,17.5387,2.21683
3673770000000,9.84885,0.909272,-0.339781,-0.0117592,-0.0178678,0.00458149,-55.4224,-15.5218,17.8018,2.32248
3673860000000,9.84407,0.870987,-0.287138,-0.00259618,-0.00167988,0.00763582,-55.3055,-15.0833,17.1003,2.99857
3673940000000,9.8345,0.808774,0.0526421,0.000458149,0.000305433,0.00641408,-55.6562,-15.0687,17.4218,3.16757
3674020000000,9.83928,0.818345,0.0334995,-0.00916297,-0.0146608,0.00290161,-55.1447,-15.2587,17.4364,2.89291
3674100000000,9.84407,0.904486,-0.339781,-0.00702495,-0.0138972,0.00442877,-55.4662,-15.4195,17.5095,2.82953
3674180000000,9.83928,0.909272,-0.325424,-0.00274889,0.000305433,0.0074831,-55.0278,-15.6095,17.2172,2.89291
3674270000000,9.84407,0.82313,0,-0.00244346,-0.00244346,0.00641408,-55.5539,-15.1564,17.2464,2.32248
3674350000000,9.84407,0.842273,-0.100498,-0.00702495,-0.0175624,0.00366519,-55.6416,-15.1272,17.0418,2.66052
3674430000000,9.84407,0.89013,-0.330209,-0.00962113,-0.0138972,0.00397062,-55.8755,-15.2002,17.9772,2.82953
3674520000000,9.85364,0.875773,-0.205783,0.00198531,-0.00137445,0.00595593,-55.3639,-15.1418,17.6556,2.32248
3674600000000,9.83928,0.813559,0.0765703,-0.00290161,-0.00412334,0.00488692,-55.6124,-15.0541,17.188,2.82953
3674680000000,9.84885,0.861416,-0.0287139,-0.00809396,-0.0137445,0.00534507,-55.3347,-14.6887,17.8164,2.49149
3674760000000,9.84885,0.880558,-0.311067,-0.00733038,-0.00977384,0.00549779,-55.7001,-14.6156,17.4803,3.16757
3674840000000,9.85364,0.851844,-0.272782,0.00137445,0.00274889,0.0056505,-55.4662,-15.171,17.5095,3.33661
3674920000000,10.1073,0.708275,0.0334995,-0.00259618,-0.00106901,0.00549779,-55.627,-15.3464,17.0564,2.49149
3675010000000,10.0068,0.74656,-0.29671,-0.0218384,-0.0142026,0.00152716,-55.7439,-14.8641,17.2757,3.33661
3675090000000,9.37507,0.847059,-0.40678,0.00167988,-0.0160352,0.00534507,-55.9924,-15.2879,16.9687,2.55487
3675170000000,10.1503,0.85663,-0.540777,0.00763582,0.00687223,0.00381791,-55.9631,-14.4841,17.3195,1.8154
3675250000000,9.72443,1.11505,-0.315852,0.0784962,-0.00992656,-0.0018326,-56.2408,-15.0395,17.378,3.16757
3675340000000,9.97328,0.698704,0.0526421,-0.00397062,-0.0311541,-0.00335976,-55.4808,-15.4779,16.9249,2.49149
3675420000000,9.82492,0.875773,-0.516849,-0.0531453,-0.00320704,-0.00320704,-56.3578,-15.1418,17.378,2.82953
3675500000000,10.5188,1.40698,0.167497,0.0461203,0.00274889,0.02474,-55.9924,-15.2002,17.4803,1.8154
3675590000000,14.3569,0.440279,-0.736989,-0.109192,-0.0125227,-0.00717767,-56.0216,-15.0687,17.2172,2.89291
3675670000000,90.0323,6.82911,-2.6991,0.825737,-0.17318,-0.149051,-56.4893,-15.2879,16.501,3.67465
3675750000000,96.5647,2.28275,-6.80997,1.06352,0.120951,0.130878,-56.7085,-15.1125,15.6387,5.36484
3675830000000,105.858,1.94297,-0.244068,-0.914312,-0.0131336,-0.0316123,-56.2262,-15.0833,17.2757,5.25922
3675910000000,100.666,2.14397,-0.9667,-0.970206,-0.0699441,-0.173944,-56.577,-15.6387,19.2926,8.47058
3675990000000,97.986,1.36869,-2.15354,-1.12598,-0.0939205,-0.272751,-56.4747,-16.6472,20.5349,10.689
3676080000000,95.708,0.0143569,-1.41655,-1.39415,-0.00855211,-0.34407,-57.0886,-17.5241,22.5373,14.7243
3676160000000,92.9084,-0.0957129,-1.15813,-1.60031,0.0271835,-0.266643,-57.7316,-18.6934,24.5542,18.7175
3676240000000,90.7693,-0.741775,-1.97647,-1.80511,0.0792598,-0.0847575,-57.8047,-19.8918,26.3958,22.5204
3676330000000,88.5966,-0.770488,-2.0674,-2.0913,0.112552,0.0723875,-57.8924,-20.5349,28.0766,26.9149
3676410000000,85.3137,-0.416351,-2.61296,-2.42468,0.0868956,0.162032,-57.7609,-22.3034,29.2751,34.1194
3676490000000,82.1886,-0.349352,-3.48395,-2.83258,-0.0578795,0.161726,-57.3516,-23.2096,31.1312,37.9224
3676570000000,79.5469,-0.564706,-2.45025,-3.53508,-0.210138,0.0244346,-57.2493,-26.3519,34.3905,45.2959
3676660000000,76.3214,-1.9669,-1.58405,-4.34966,-0.14111,0.00641408,-57.3809,-30.8828,35.4867,53.7892
3676740000000,73.7898,-2.78524,-1.74676,-4.71679,-0.165544,0.166613,-56.5916,-34.6536,33.9082,61.6064
3676820000000,69.545,-2.67039,-1.32084,-5.0036,-0.275653,0.304363,-56.2262,-38.4975,31.2043,68.4728
3676900000000,64.8167,-3.29731,0.00478564,-5.0036,-0.344986,0.281151,-56.2408,-40.456,26.1765,78.4978
3676980000000,60.2273,-3.84766,0.354137,-5.0036,-0.283747,0.336892,-56.2847,-40.6606,19.0734,86.0826
3677060000000,55.614,-4.39322,-0.267996,-5.0036,-0.265115,0.411112,-56.2993,-37.7521,12.7156,95.2731
3677150000000,51.4313,-4.37408,0.976271,-5.0036,-0.438296,0.513585,-57.1178,-32.2567,9.77784,105.837
3677230000000,44.784,-4.55115,2.39761,-5.0036,-0.445932,0.496939,-58.0532,-25.8988,10.8448,113.348
3677310000000,22.3681,-5.06321,3.85723,-5.0036,-0.330936,0.564897,-57.9363,-21.6457,17.8456,123.595
3677400000000,15.3236,-5.88155,3.22552,-5.0036,-0.343764,0.790154,-57.3662,-21.6019,27.4189,133.334
3677480000000,12.859,-5.69013,4.14437,-5.0036,-0.493885,0.734413,-56.9278,-26.5858,34.9605,141.722
3677560000000,-1.33998,-6.18305,4.49372,-5.0036,-0.358731,0.727998,-56.5039,-34.5951,35.399,152.339
3677640000000,-4.29272,-5.99641,4.0008,-5.0036,-0.476627,0.932791,-55.8316,-39.6229,27.7843,162.015
3677720000000,-9.3655,-5.72363,5.21635,-5.0036,-0.521984,0.845284,-56.767,-39.7983,17.758,171.448
3677810000000,-10.3848,-7.16889,4.13958,-5.0036,-0.445321,0.927752,-57.7463,-33.8497,10.6694,180.121
3677890000000,-10.5284,-4.90528,5.04407,-5.0036,-0.448986,0.835816,-58.3893,-24.8027,13.4902,188.023
3677970000000,-10.739,-6.64247,4.45065,-5.0036,-0.385303,0.88438,-58.3601,-20.3303,22.4057,201.09
3678050000000,-10.8012,-3.30688,2.1344,-5.0036,-0.640187,0.856433,-57.2493,-23.5019,32.1982,205.052
3678130000000,-10.337,-6.01077,4.74736,-5.0036,-0.472199,0.543365,-56.1385,-32.0374,35.969,214.95
3678220000000,-11.208,-6.34098,1.61276,-5.0036,-0.415236,0.962723,-56.1239,-38.7752,30.7366,224.87
3678300000000,-10.6098,-3.58445,3.30688,-5.0036,-0.664927,0.765109,-55.8316,-40.8652,22.6103,230.046
3678380000000,-9.97807,-6.17826,4.32622,-5.0036,-0.46609,0.68142,-56.9716,-38.3952,14.3818,242.131
3678470000000,-9.63828,-5.14935,3.81416,-5.0036,-0.408821,0.916145,-58.0678,-30.1228,10.0263,247.74
3678550000000,-9.60479,-4.10608,3.56052,-5.0036,-0.539241,0.864374,-58.097,-23.4873,15.3756,255.441
3678630000000,-8.94437,-4.78564,3.85244,-5.0036,-0.470519,0.75732,-58.5063,-21.1634,23.078,262.962
3678710000000,-8.81994,-5.13499,3.48395,-5.0036,-0.432951,0.808938,-57.1616,-23.9111,32.6805,271.445
3678790000000,-8.62851,-4.31665,2.84746,-5.0036,-0.51893,0.876744,-56.4016,-30.6489,36.4221,278.629
3678870000000,-8.11166,-4.1013,3.51745,-5.0036,-0.482736,0.820392,-55.7147,-37.2113,33.5721,286.182
3678960000000,-7.91067,-3.86201,2.9001,-5.0036,-0.434936,0.897514,-55.8462,-40.8068,24.7735,293.735
3679040000000,-7.6666,-3.72323,2.88574,-5.0036,-0.503811,0.866054,-56.8401,-38.9798,16.9395,300.231
3679120000000,-7.37468,-3.58923,2.52203,-5.0036,-0.465632,0.745713,-57.527,-33.499,11.8825,308.323
3679210000000,-7.15932,-3.82851,2.40239,-5.0036,-0.408211,0.734413,-58.3747,-26.805,11.7509,313.626
3679290000000,-6.84826,-2.90489,2.33061,-5.0036,-0.450666,0.74892,-58.5647,-22.1865,18.3426,319.531
3679370000000,-6.67597,-2.44068,2.62253,-5.0036,-0.460592,0.67073,-58.6086,-21.3242,26.0012,326.768
3679450000000,-6.57069,-3.34995,2.35932,-5.0036,-0.365603,0.600022,-57.3516,-24.7588,31.9936,333.465
3679530000000,-6.47498,-3.52702,2.42632,-5.0036,-0.318108,0.704327,-56.8547,-30.2981,35.2675,341.219
3679620000000,-6.14476,-2.95274,2.62732,-5.0036,-0.393855,0.778089,-56.4455,-35.8667,33.7913,347.494
3679700000000,-6.03948,-2.72782,2.29232,-5.0036,-0.428675,0.728915,-56.3578,-39.4621,29.2751,353.526
3679780000000,-5.77627,-3.24467,2.46939,-5.0036,-0.356745,0.636674,-56.6062,-39.9737,22.0842,359.452
3679860000000,-5.64706,-3.43609,2.13918,-5.0036,-0.32162,0.722653,-56.8255,-36.8459,14.981,365.399
3679940000000,-5.50827,-2.51246,1.54576,-5.0036,-0.397215,0.728762,-58.0824,-32.1543,12.204,370.47
3680030000000,-5.15892,-1.78983,2.16311,-5.0036,-0.413708,0.574519,-58.6963,-27.0827,14.2941,374.833
3680110000000,-5.03449,-2.7326,1.94776,-5.0036,-0.256258,0.488692,-58.5063,-23.6334,18.2841,383.146
3680190000000,-4.81914,-2.18704,1.64626,-5.0036,-0.250455,0.547182,-58.5209,-22.2742,22.8442,387.266
3680280000000,-4.666,-2.08654,1.84247,-5.0036,-0.238848,0.524886,-58.3309,-23.3996,27.6527,392.95
3680360000000,-4.52243,-2.24925,1.62233,-5.0036,-0.214566,0.530384,-57.644,-25.6942,31.979,398.57
3680440000000,-4.31186,-1.94297,1.46441,-5.0036,-0.236099,0.552222,-56.767,-29.582,33.9228,403.144
3680520000000,-4.12044,-1.60798,1.56012,-5.0036,-0.261603,0.514348,-56.884,-33.7913,33.1774,408.922
3680600000000,-4.05822,-1.92861,1.58405,-5.0036,-0.215177,0.46105,-56.4162,-37.0652,30.6197,413.655
3680680000000,-3.96251,-2.17747,1.33519,-5.0036,-0.16921,0.516028,-56.6647,-38.2052,25.2265,419.623
3680760000000,-3.87158,-2.30189,1.18205,-5.0036,-0.237321,0.56108,-57.2932,-37.299,21.0757,424.895
3680850000000,-3.6993,-1.67019,1.25862,-5.0036,-0.314748,0.534202,-57.644,-35.6621,17.9772,428.761
3680930000000,-3.56052,-1.39262,1.46441,-5.0036,-0.312763,0.463647,-57.8486,-33.1774,15.1564,433.599
3681010000000,-3.39781,-1.6319,1.48833,-5.0036,-0.284969,0.432034,-58.2578,-30.1228,15.2148,437.909
3681090000000,-3.2016,-1.96211,1.35912,-5.0036,-0.253967,0.419817,-58.5355,-27.5358,16.2818,442.483
3681180000000,-3.21595,-1.50748,0.928415,-5.0036,-0.253967,0.454331,-58.8863,-25.0511,18.211,445.219
3681260000000,-3.01017,-1.12941,1.38784,-4.95366,-0.273057,0.410196,-58.9009,-23.9842,21.8357,450.586
3681340000000,-2.9336,-1.41176,1.15813,-4.97611,-0.181885,0.344375,-58.6086,-24.2034,24.8904,455.868
3681420000000,-2.87617,-1.55055,1.12463,-4.88707,-0.154549,0.362243,-58.404,-25.3142,27.7112,459.671
3681500000000,-2.77567,-1.61755,0.89013,-4.78475,-0.147982,0.413097,-58.5063,-27.0389,29.4358,463.273
3681590000000,-2.70867,-1.1342,0.928415,-4.53751,-0.203876,0.445626,-58.1263,-28.3689,30.8974,467.857
3681670000000,-2.59382,-1.31127,0.971485,-4.47718,-0.216399,0.4076,-57.5417,-30.8974,31.6136,472.093
3681750000000,-2.47418,-1.39262,1.22034,-4.41503,-0.21197,0.406225,-57.3809,-32.8997,30.8535,476.689
3681840000000,-2.48853,-1.64626,1.21077,-4.38021,-0.197004,0.453415,-57.7024,-34.7267,29.1435,480.745
3681920000000,-2.34975,-1.41655,1.12463,-4.3544,-0.197768,0.515417,-57.4686,-35.4721,26.8635,483.756
3682000000000,-2.28275,-1.41655,1.06241,-4.29973,-0.232892,0.539699,-57.4978,-35.9398,25.3727,486.576
3682080000000,-2.19661,-0.9332,1.11505,-4.24704,-0.26145,0.524733,-57.6001,-35.3405,22.8296,490.992
3682160000000,-2.03868,-0.937986,1.25862,-4.37089,-0.221897,0.438448,-57.8632,-34.7121,21.2949,494.362
3682240000000,-1.90947,-0.990628,1.01934,-4.46924,-0.148288,0.388663,-58.3163,-33.689,19.4534,497.711
3682320000000,-1.87119,-1.0337,0.727417,-4.39563,-0.121715,0.383929,-58.6524,-32.3736,18.211,500.732
3682410000000,-1.80419,-1.0002,0.583848,-4.20764,-0.145539,0.380874,-58.4186,-30.1812,17.4656,504.63
3682490000000,-1.71326,-0.765703,0.411565,-4.0143,-0.175776,0.345139,-58.7401,-28.5589,18.2987,507.82
3682570000000,-1.60319,-0.641276,0.583848,-3.8796,-0.202654,0.295048,-58.5355,-28.135,19.5703,510.651
3682660000000,-1.52662,-0.492921,0.579063,-3.7727,-0.173791,0.228158,-58.8863,-27.0681,20.2572,513.493
3682740000000,-1.42612,-0.502492,0.689132,-3.67863,-0.13439,0.162032,-59.1055,-26.8196,21.4265,517.032
3682820000000,-1.35434,-0.622133,0.713061,-3.6461,-0.0647517,0.139125,-58.7255,-27.2289,22.9173,519.155
3682900000000,-1.25862,-0.741775,0.650847,-3.57112,-0.00320704,0.162337,-58.7109,-27.2727,23.5311,521.458
