time,accelx,accely,accelz,gyrox,gyroy,gyroz,magx,magy,magz,altitude,pressure,temp,apogee1,apogee2,apogee3,apogee4,flightStage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.43173E+12,9.80578,-0.803988,0.904486,0.0114537,-0.00259618,-0.0018326,-7.73166,-16.7349,-4.16545,7.13815,1021.83,28.2555,0,0,0,0,PRE_FLIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.4318E+12,9.81057,-0.760917,1.00977,0.00809396,0.000916298,0,-7.51242,-16.3695,-4.51622,8.95511,1021.87,28.2734,0,0,0,0,PRE_FLIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.43186E+12,9.78185,-0.799202,1.02891,0.0177151,-0.00229074,0.00305432,-7.98012,-16.3695,-5.15931,8.55371,1021.9,28.2867,0,0,0,0,PRE_FLIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.43193E+12,9.79621,-0.813559,1.1007,-0.00580322,-0.00534507,0.00366519,-7.36627,-16.6764,-4.20929,8.38467,1021.83,28.2912,0,0,0,0,PRE_FLIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.43199E+12,9.80578,-0.842273,1.11984,0.0195477,-0.0138972,0.00458149,-8.15551,-16.2233,-3.81467,8.21567,1021.76,28.3045,0,0,0,0,PRE_FLIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.43206E+12,9.79621,-0.894915,0.9332,0.0103847,-0.0183259,0.00122173,-7.8632,-16.311,-3.80006,8.55371,1021.75,28.2956,0,0,0,0,PRE_FLIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.43212E+12,9.79142,-0.85663,0.765703,0.00763582,-0.00778853,-0.00152716,-7.16165,-16.3987,-3.97544,8.55371,1021.85,28.3001,0,0,0,0,PRE_FLIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.43219E+12,9.8345,-0.770488,0.842273,0.0131336,0.00244346,-0.000458149,-7.79012,-16.5741,-3.9316,8.55371,1021.82,28.3001,0,0,0,0,PRE_FLIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.43225E+12,9.80099,-0.751346,1.00498,-0.000458149,0.00733038,0.000610865,-7.71704,-16.4133,-4.32622,7.79312,1021.88,28.3001,0,0,0,0,PRE_FLIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.43232E+12,9.82492,-0.765703,1.11027,0.00992656,-0.00106901,0.00320704,-7.64396,-16.7495,-4.19468,8.55371,1021.73,28.309,0,0,0,0,PRE_FLIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.43239E+12,9.80578,-0.813559,1.11505,0.00488692,-0.00962113,0.00442877,-7.65858,-16.6033,-4.45776,8.82837,1021.82,28.309,0,0,0,0,PRE_FLIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.43245E+12,9.78664,-0.847059,0.894915,0.00824668,-0.00763582,0.00259618,-7.52704,-17.1587,-4.16545,8.46918,1021.8,28.3045,0,0,0,0,PRE_FLIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.43251E+12,9.80099,-0.899701,0.789631,0.00870483,0.000610865,0.000916298,-7.5855,-16.3841,-4.25314,8.82837,1021.84,28.3001,0,0,0,0,PRE_FLIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.43258E+12,9.81057,-0.803988,1.01934,0.00259618,0.00641408,-0.000610865,-7.8632,-16.6326,-3.49313,7.96213,1021.84,28.3134,0,0,0,0,PRE_FLIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.43265E+12,9.81535,-0.799202,1.11505,0.00733038,0.000763581,0.000458149,-7.89243,-16.8956,-4.867,9.08188,1021.77,28.3134,0,0,0,0,PRE_FLIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.43271E+12,9.79142,-0.760917,1.1007,0.00641408,-0.0074831,0.00229074,-7.73166,-17.1003,-3.6539,8.74384,1021.77,28.309,0,0,0,0,PRE_FLIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.43277E+12,9.80099,-0.775274,0.909272,0.00641408,-0.00916297,0.00351247,-7.81935,-16.6618,-4.1216,8.55371,1021.8,28.3179,0,0,0,0,PRE_FLIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.43284E+12,9.82014,-0.837487,0.775274,0.00763582,-0.00122173,0.00412334,-7.70243,-16.8664,-4.53084,7.70859,1021.8,28.3134,0,0,0,0,PRE_FLIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.43291E+12,9.82014,-0.847059,0.942772,-0.00549779,0.00717767,0.00229074,-7.92166,-16.9541,-4.29699,9.08188,1021.88,28.309,0,0,0,0,PRE_FLIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.43297E+12,9.79621,-0.837487,1.11984,0.00870483,0.00427606,0.00106901,-8.19935,-17.0564,-4.53084,8.38467,1021.9,28.309,0,0,0,0,PRE_FLIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
