time,accelx,accely,accelz,gyrox,gyroy,gyroz,magx,magy,magz,altitude,pressure,temp
time,accelx,accely,accelz,gyrox,gyroy,gyroz,magx,magy,magz,altitude,pressure,temp
3672373016370,9.8345,0.832702,0.210568,-0.00412334,-0.00946841,0.00351247,-55.6416,-15.2441,17.5241,3.16757,1021.39,30.2545
3672453918468,9.83928,0.894915,-0.191426,-0.0138972,-0.0256563,0.00274889,-56.0362,-14.8202,17.5826,2.49149,1021.39,30.25
3672539459234,9.86321,0.918843,-0.473778,-0.00534507,-0.00626137,0.00778853,-55.9339,-14.7325,17.6995,2.49149,1021.4,30.2545
3672620330813,9.8345,0.813559,-0.0430708,0.00274889,0.00733038,0.00870483,-56.0655,-15.4487,17.948,3.25208,1021.38,30.2545
3672701110852,9.84407,0.770488,0.191426,-0.00442877,-0.0106901,0.00381791,-55.9778,-15.2441,17.9187,2.55487,1021.44,30.2456
3672786560064,9.84885,0.909272,-0.301496,-0.0140499,-0.0210748,0.0018326,-55.6416,-15.3756,17.7726,2.55487,1021.36,30.2456
3672867492680,9.84885,0.957129,-0.473778,-0.000916298,-0.00458149,0.00519235,-55.3639,-15.2148,17.7726,2.49149,1021.44,30.2545
3672948394777,9.84407,0.832702,-0.0382851,-0.000152716,0.00351247,0.00855211,-55.6416,-15.4925,17.451,1.8154,1021.44,30.2456
3673033935557,9.8345,0.827916,0.0526421,-0.00931569,-0.0157298,0.00519235,-56.1093,-15.0833,17.6995,2.89291,1021.43,30.2545
3673114898690,9.85843,0.866201,-0.306281,-0.00962113,-0.0213803,0.0018326,-55.6416,-14.9664,17.6556,2.89291,1021.36,30.2545
3673195770270,9.84407,0.904486,-0.382851,-0.00152716,-0.00244346,0.0056505,-55.6855,-15.2295,18.211,2.99857,1021.35,30.2545
3673281280518,9.8345,0.85663,0.0287139,0,0.00213803,0.00671952,-56.0216,-15.361,17.2757,2.66052,1021.43,30.25
3673362152111,9.84885,0.818345,0.11007,-0.0074831,-0.0129809,0.00503964,-55.5539,-14.9518,17.2903,2.55487,1021.33,30.25
3673442993172,9.86321,0.870987,-0.306281,-0.0120646,-0.0171042,0.00397062,-55.8462,-15.0541,17.4656,2.49149,1021.44,30.2545
3673528564456,9.85364,0.894915,-0.416351,-0.000152716,0.000763581,0.00671952,-55.7732,-15.0395,17.5095,2.49149,1021.41,30.2545
3673608612063,9.85364,0.832702,0.00957128,-0.0018326,0.00259618,0.00580322,-55.4955,-14.7033,17.0418,2.21683,1021.43,30.2634
3673689331066,9.84885,0.842273,0.0478564,-0.0056505,-0.0151189,0.00305432,-55.9047,-15.1418,17.5387,2.21683,1021.43,30.2545
3673774871832,9.84885,0.909272,-0.339781,-0.0117592,-0.0178678,0.00458149,-55.4224,-15.5218,17.8018,2.32248,1021.43,30.2545
3673855651858,9.84407,0.870987,-0.287138,-0.00259618,-0.00167988,0.00763582,-55.3055,-15.0833,17.1003,2.99857,1021.38,30.25
