time,altitude,%error altitude,velocity,%error velocity,acceleration,%error acceleration,appred,%error appred
0.01,0.006,8.69234e-07,0,-100,9.52695e+11,7.87338e+11,0.006,-99.9997
0.02,0.024,-1.27413e+15,-2.86818e+11,-1.18569e+13,1.60255e+12,1.32413e+12,-3.05792e+11,-1.29563e+10
0.03,0.054,-1.35675e+15,-6.85334e+11,-1.88849e+13,2.13679e+12,1.76521e+12,-7.32643e+11,-3.10419e+10
0.04,0.097,-1.23595e+15,-1.11391e+12,-2.30194e+13,2.63661e+12,2.17772e+12,-1.19887e+12,-5.07958e+10
0.05,0.151,-1.11228e+15,-1.54767e+12,-2.55855e+13,3.12648e+12,2.58186e+12,-1.67954e+12,-7.11618e+10
0.06,0.218,-9.93837e+14,-1.97856e+12,-2.72529e+13,3.61425e+12,2.98415e+12,-2.16656e+12,-9.17967e+10
0.07,0.296,-8.97669e+14,-2.40382e+12,-2.8377e+13,4.10258e+12,3.38678e+12,-2.6571e+12,-1.12581e+11
0.08,0.387,-8.1398e+14,-2.82244e+12,-2.91515e+13,4.59237e+12,3.7905e+12,-3.1501e+12,-1.33469e+11
0.09,0.49,-7.43909e+14,-3.23408e+12,-2.96895e+13,5.08392e+12,4.19556e+12,-3.64515e+12,-1.54444e+11
0.099,0.595,-6.95532e+14,-3.64416e+12,-3.03553e+13,5.57729e+12,4.60218e+12,-4.13842e+12,-1.75344e+11
0.108,0.699,-6.6305e+14,-4.0492e+12,-3.11142e+13,6.07071e+12,5.00883e+12,-4.63472e+12,-1.96372e+11
0.115,0.803,-6.38097e+14,-4.46115e+12,-3.1991e+13,6.56541e+12,5.41647e+12,-5.12392e+12,-2.17099e+11
0.122,0.906,-6.20081e+14,-4.87162e+12,-3.28853e+13,7.05742e+12,5.82185e+12,-5.61794e+12,-2.3803e+11
0.129,1.009,-6.0592e+14,-5.27762e+12,-3.37616e+13,7.54995e+12,6.22759e+12,-6.11374e+12,-2.59037e+11
0.139,1.173,-5.65014e+14,-5.65432e+12,-3.35369e+13,8.04372e+12,6.63306e+12,-6.62761e+12,-2.8081e+11
0.154,1.443,-4.96574e+14,-5.97376e+12,-3.19435e+13,8.54686e+12,7.04506e+12,-7.16556e+12,-3.03603e+11
0.177,1.901,-4.07174e+14,-6.19548e+12,-2.88645e+13,9.06726e+12,7.46959e+12,-7.74037e+12,-3.27957e+11
0.211,2.705,-3.09061e+14,-6.27002e+12,-2.44827e+13,9.61576e+12,7.91466e+12,-8.3601e+12,-3.54215e+11
0.261,4.137,-2.18466e+14,-6.11979e+12,-1.93181e+13,1.0203e+13,8.38844e+12,-9.03795e+12,-3.82935e+11
0.311,5.873,-1.64191e+14,-5.87695e+12,-1.55677e+13,1.08428e+13,8.91055e+12,-9.64294e+12,-4.08569e+11
0.361,7.912,-1.29229e+14,-5.59399e+12,-1.27644e+13,1.14788e+13,9.43013e+12,-1.02246e+13,-4.33212e+11
0.411,10.255,-1.05233e+14,-5.28298e+12,-1.05871e+13,1.20976e+13,9.9366e+12,-1.07916e+13,-4.57239e+11
0.461,12.902,-8.7916e+13,-4.94602e+12,-8.83596e+12,1.26965e+13,1.04284e+13,-1.13429e+13,-4.80596e+11
0.511,15.852,-7.49158e+13,-4.58377e+12,-7.38936e+12,1.32747e+13,1.09428e+13,-1.18756e+13,-5.03168e+11
0.561,19.102,-6.48487e+13,-4.19728e+12,-6.17401e+12,1.38314e+13,1.16036e+13,-1.23874e+13,-5.24851e+11
0.611,22.647,-5.68567e+13,-3.78814e+12,-5.13172e+12,1.43656e+13,1.22924e+13,-1.28763e+13,-5.45567e+11
0.661,26.481,-5.03795e+13,-3.35833e+12,-4.22245e+12,1.48762e+13,1.29942e+13,-1.3341e+13,-5.65254e+11
0.711,30.598,-4.50363e+13,-2.91006e+12,-3.41834e+12,1.5362e+13,1.37102e+13,-1.37802e+13,-5.83864e+11
0.761,34.991,-4.05622e+13,-2.44571e+12,-2.69935e+12,1.5822e+13,1.44406e+13,-1.41931e+13,-6.01359e+11
0.811,39.655,-3.67647e+13,-1.96772e+12,-2.05073e+12,1.62554e+13,1.51852e+13,-1.4579e+13,-6.1771e+11
0.861,44.583,-3.35049e+13,-1.47856e+12,-1.46123e+12,1.66616e+13,1.59082e+13,-1.49375e+13,-6.32898e+11
0.911,49.771,-3.06769e+13,-9.80701e+11,-9.22405e+11,1.704e+13,1.65859e+13,-1.52682e+13,-6.4691e+11
0.961,55.213,-2.82019e+13,-4.76597e+11,-4.27998e+11,1.73904e+13,1.72577e+13,-1.55711e+13,-6.59743e+11
1.011,60.904,-2.60184e+13,3.1359e+10,2.6966e+10,1.77127e+13,1.79224e+13,-1.58462e+13,-6.71401e+11
1.061,66.839,-2.40786e+13,5.40858e+11,4.46506e+11,1.80069e+13,1.85822e+13,-1.60939e+13,-6.81894e+11
1.111,73.014,-2.23444e+13,1.04968e+12,8.33908e+11,1.82734e+13,1.9237e+13,-1.63145e+13,-6.91242e+11
1.161,79.424,-2.07855e+13,1.55574e+12,1.19194e+12,1.85125e+13,1.98944e+13,-1.65087e+13,-6.99468e+11
1.211,86.064,-1.93775e+13,2.05707e+12,1.52294e+12,1.87249e+13,2.05628e+13,-1.66771e+13,-7.06602e+11
1.261,92.929,-1.81004e+13,2.55185e+12,1.82902e+12,1.89112e+13,2.12433e+13,-1.68205e+13,-7.12681e+11
1.311,100.014,-1.69376e+13,3.03841e+12,2.112e+12,1.90723e+13,2.19396e+13,-1.694e+13,-7.17743e+11
1.359,106.893
